Make,Model,Model Year,Mileage,ADS Equipped?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Highest Injury Severity Alleged,Property Damage?,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),Weather
Cruise,AV,2023.0,8917.0,Yes,AUG-2023,09:05,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,Minor,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,5.0,Clear
Cruise,AV,2023.0,8917.0,Yes,AUG-2023,09:05,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,Minor,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,5.0,Clear
Cruise,AV,2023.0,9942.0,Yes,SEP-2023,08:42,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,3.0,Clear
Cruise,8AV,2020.0,78839.0,Yes,SEP-2023,09:37,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,Yes,10.0,Clear
Cruise,AV,2023.0,9518.0,Yes,SEP-2023,22:36,Austin,TX ,Intersection,Dry,No Unusual Conditions,30.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Changing Lanes,No,No,Yes,24.0,Clear
Cruise,AV,2023.0,11107.0,Yes,SEP-2023,23:44,Austin,TX ,Intersection,Dry,No Unusual Conditions,30.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Changing Lanes,No,No,No Passengers in Vehicle,25.0,Clear
Toyota,Highlander,2017.0,86020.0,Yes,SEP-2023,15:20,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,No,Stopped,No,No,Yes,0.0,Clear
Lincoln,MKZ,2019.0,48834.0,Yes,SEP-2023,17:02,Milpitas,CA ,Highway / Freeway,Dry,"Other, see Narrative",65.0,Daylight,Clear, , , , , ,No Injuries Reported,No,Proceeding Straight,No,No,Yes,58.0,Clear
Cruise,AV,2023.0,5690.0,Yes,SEP-2023,23:56,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Making Left Turn,No,No,No Passengers in Vehicle,10.0,Clear
Cruise,AV,2023.0,11338.0,Yes,SEP-2023,10:54,Austin,TX ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
